month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2014-02,2014-02-28,grid_vtqvtw11.xlsx,10482.9544789228,2300.3766486163,562.7980593323,6356.0262866302,29106.510373874,10730.7931040729,367.9751733775,925.5430001999,,15376.0576398182,466.1257280754,1662.9233017543,598.2841312438
2014-03,2014-03-31,grid_vtqvtw11.xlsx,10863.9912019571,2366.3601855804,574.3929835435,6327.371621166,30657.6193227397,10844.8228729468,389.1965056023,926.1905581096,,15761.2900745958,449.0479385791,1621.8200856881,638.0673955068
2014-04,2014-04-30,grid_vtqvtw11.xlsx,10885.2706433431,2481.8657394069,606.8221968339,6078.2468224603,30669.2978323288,10959.2250728488,400.0020868126,882.8342524257,,15136.2516694793,454.3254869148,1617.2054238197,632.7287566027
2014-05,2014-05-30,grid_vtqvtw11.xlsx,11182.40257315,2320.881941142,776.387068045,6958.0675949768,29465.0029659178,11576.8862615042,419.9544362485,1062.9503105065,,15189.5957193358,460.288424968,1680.9332855544,621.5219498082
2014-06,2014-06-30,grid_vtqvtw11.xlsx,11057.4390682972,2242.8833558709,785.8531081201,6873.0722207775,29770.9642794082,11532.1500530231,437.7315750285,1068.0072689881,,14246.6447168459,455.0172497733,1647.6332806597,619.3792256
2014-07,2014-07-31,grid_vtqvtw11.xlsx,11294.3084906075,2383.8869700001,897.2003639366,6823.6122665237,28583.3419509479,12040.0999955774,430.2905774864,1045.7926678823,,13715.5468828686,428.4147459639,1677.360736744,614.8418111123
2014-08,2014-08-29,grid_vtqvtw11.xlsx,11753.2473417033,2415.1660942547,945.9606636331,6699.956426619,29197.0874382027,12690.9758036338,440.4477258883,1069.7254734829,,12891.6446237666,446.8031508064,1643.8974283499,627.1698579288
2014-09,2014-09-30,grid_vtqvtw11.xlsx,11234.3311949312,2296.77982715,1054.2665389471,7680.7672522751,29713.5725974795,12795.4638664821,449.5983144911,1019.5630386395,,12200.8363913755,441.9182962321,1592.3189648589,624.0881379945
2014-10,2014-10-31,grid_vtqvtw11.xlsx,10491.6850864606,2454.6360928029,1081.044390754,7712.1478804979,28417.5929961206,13258.2800457483,444.0714746357,1041.9849552417,,9470.876620581,439.1541102851,1534.6234954672,626.384391189
2014-11,2014-11-28,grid_vtqvtw11.xlsx,10142.2526218231,2534.6012865672,1106.3130747439,7789.9257048311,27400.5037392658,13612.9470398772,449.6162060784,1040.2284473555,,8739.2524745089,434.0656482666,1490.3702400347,639.6067941699
2014-12,2014-12-31,grid_vtqvtw11.xlsx,9390.8632256243,2676.4442043206,1134.9091320951,7950.7332334595,23751.70048,13651.9512513187,463.0895115539,1040.2284085031,,6996.2449053129,397.0420998047,1301.7570078925,623.308032
2015-01,2015-01-30,grid_vtqvtw11.xlsx,9114.363816116,2848.7598265335,1133.7665435737,8057.1785996218,20076.1406055519,13884.5490066146,476.2729639585,1058.1115302883,,5847.1793102156,390.6746525056,1254.0923125393,629.684221377
2015-02,2015-02-27,grid_vtqvtw11.xlsx,9196.5745273739,2694.709516968,1117.1346095351,8142.0168035586,19511.5314304699,14153.4766633183,488.7994696266,1092.7092195935,,4952.1543350566,394.0506840262,1162.477483913,645.9197457486
2015-03,2015-03-31,grid_vtqvtw11.xlsx,8856.0600535315,2864.3412858384,1104.8580316702,8339.3781324766,17652.234827541,14109.7900143743,503.7505478857,1040.5298541559,,3013.5822492068,387.7624182975,1140.5924268993,644.6636980109
2015-04,2015-04-30,grid_vtqvtw11.xlsx,8613.7485548957,2981.1549052123,1098.971224631,8359.825462903,15999.5204770273,14174.2117786923,491.3495387964,1041.4961065038,,-60.3152694177,400.7149012924,1157.9095744623,646.1236146011
2015-05,2015-05-29,grid_vtqvtw11.xlsx,8798.736616374,3102.27513338,1146.6358181114,8336.832232413,18243.9263853115,14268.2613472436,505.8764112024,1033.6459338986,,393.8514822066,389.6463603153,1191.9810985571,643.5410979672
2015-06,2015-06-30,grid_vtqvtw11.xlsx,9112.8924910014,3300.2141903726,1158.2906012687,8640.4165685248,18968.5828154754,14194.0819613056,500.7913552055,1047.2482616424,,603.5467178886,381.5063338689,1152.4499135431,656.3378535519
